"STATION","NAME","DATE","TMAX","TMIN"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-13","46","25"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-14","49","29"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-15","47","25"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-16","36","20"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-17","34","19"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-18","36","26"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-19","48","23"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-20","46","35"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-21","56","38"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-22","66","38"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-23","53","35"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-24","44","33"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-25","36","27"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-26","42","30"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-27","51","32"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-28","47","29"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-29","41","27"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-30","43","25"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-03-31","54","27"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-01","58","34"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-02","66","37"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-03","49","32"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-04","62","34"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-05","36","29"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-06","34","25"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-07","43","24"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-08","50","32"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-09","66","43"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-10","49","38"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-11","44","37"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-12","48","37"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-13","55","42"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-14","68","43"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-15","62","46"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-16","62","45"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-17","68","43"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-18","84","41"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-19","70","43"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-20","60","42"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-21","53","36"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-22","52","33"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-23","71","41"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-24","81","58"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-25","68","40"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-26","85","42"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-27","64","33"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-28","44","33"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-29","54","41"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-04-30","42","32"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-01","58","33"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-02","59","41"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-03","58","37"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-04","63","42"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-05","67","38"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-06","47","35"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-07","50","41"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-08","71","42"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-09","71","50"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-10","66","47"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-11","77","45"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-12","59","45"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-13","65","44"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-14","63","51"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-15","78","45"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-16","54","43"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-17","53","40"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-18","56","43"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-19","65","43"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-20","77","48"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-21","84","57"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-22","90","52"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-23","72","52"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-24","76","53"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-25","63","48"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-26","51","41"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-27","59","37"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-28","84","48"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-29","83","59"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-30","91","66"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-05-31","87","68"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-01","68","50"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-02","61","46"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-03","64","49"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-04","76","50"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-05","84","59"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-06","87","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-07","72","49"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-08","57","46"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-09","71","48"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-10","73","47"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-11","83","55"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-12","91","62"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-13","87","59"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-14","95","55"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-15","98","79"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-16","100","76"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-17","94","76"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-18","94","65"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-19","78","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-20","91","66"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-21","84","68"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-22","88","64"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-23","75","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-24","68","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-25","90","59"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-26","74","61"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-27","82","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-28","86","66"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-29","80","66"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-06-30","71","62"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-01","87","67"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-02","73","59"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-03","73","57"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-04","87","66"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-05","95","73"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-06","88","69"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-07","84","67"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-08","85","64"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-09","78","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-10","69","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-11","85","57"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-12","90","73"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-13","73","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-14","76","61"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-15","81","64"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-16","82","64"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-17","87","68"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-18","89","67"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-19","87","71"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-20","88","69"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-21","88","68"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-22","86","66"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-23","88","67"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-24","86","68"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-25","85","65"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-26","77","61"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-27","73","61"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-28","74","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-29","82","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-30","83","65"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-07-31","89","64"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-01","88","66"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-02","74","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-03","89","62"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-04","77","57"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-05","67","53"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-06","70","52"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-07","76","57"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-08","86","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-09","63","57"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-10","64","56"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-11","69","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-12","70","61"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-13","86","67"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-14","76","58"
