"TSF","species","height","low","high","scenario","Scenario","filter"
18,"Potr",2.39300441491846,2.27777709454965,2.51373386330966,"CPCRW_hare","Hare","All stands"
19,"Bene",7.06043601337822,6.669098767484,7.45377695803537,"CPCRW_hare","Hare","All stands"
19,"Pigl",0.542539489987296,0.534431825748109,0.550774485941914,"CPCRW_hare","Hare","All stands"
19,"Pima",0.453849879948028,0.43315321060228,0.476359206102777,"CPCRW_hare","Hare","All stands"
19,"Potr",2.42944721886884,2.3121479250477,2.54996785862652,"CPCRW_hare","Hare","All stands"
20,"Bene",7.2400393464546,6.80446577489582,7.64344593603823,"CPCRW_hare","Hare","All stands"
20,"Pigl",0.58312114110187,0.574830591707079,0.592173098703262,"CPCRW_hare","Hare","All stands"
20,"Pima",0.45393641498202,0.43443463744081,0.474252912346945,"CPCRW_hare","Hare","All stands"
20,"Potr",2.45180573420075,2.32991458710309,2.58642112846667,"CPCRW_hare","Hare","All stands"
21,"Bene",7.45572230512017,7.02099501743887,7.91419860514423,"CPCRW_hare","Hare","All stands"
21,"Pigl",0.622658055335239,0.61333837239592,0.632885339398033,"CPCRW_hare","Hare","All stands"
21,"Pima",0.456318366940054,0.437613196976788,0.474932172663057,"CPCRW_hare","Hare","All stands"
21,"Potr",2.48006265406111,2.35173890577715,2.59913435122779,"CPCRW_hare","Hare","All stands"
22,"Bene",7.61535791022642,7.13956603590987,8.09563085069767,"CPCRW_hare","Hare","All stands"
22,"Pigl",0.666358270653522,0.65676830763477,0.675802675569849,"CPCRW_hare","Hare","All stands"
22,"Pima",0.474760400011137,0.456761953756604,0.494017695064582,"CPCRW_hare","Hare","All stands"
22,"Potr",2.48214497558488,2.34678984098633,2.60808294332882,"CPCRW_hare","Hare","All stands"
23,"Bene",7.79320747984659,7.32102008301357,8.22019657199669,"CPCRW_hare","Hare","All stands"
23,"Pigl",0.714667921424523,0.703819689056262,0.72496673223947,"CPCRW_hare","Hare","All stands"
23,"Pima",0.489873697877658,0.472208246005787,0.507430543970685,"CPCRW_hare","Hare","All stands"
23,"Potr",2.51215141320792,2.37897329023561,2.65123371212709,"CPCRW_hare","Hare","All stands"
